month,time,moon
January,Impossible,N/A
February,Difficult. Before sunrise (late February only),Last Quarter to New Moon
March,Difficult. Before sunrise,New Moon to First Quarter
April,4 AM to Sunrise,New Moon to First Quarter
May,3 AM to 6 AM,New Moon to First Quarter
June,10 PM to 2 AM,New Moon
July,Sunset to Midnight,Last Quarter to New Moon
August,Sunset until 10 PM,Last Quarter to New Moon
September,Sunset until 9 PM,Last Quarter to New Moon
October,Difficult: Sunset (early October only),Last Quarter to New Moon
November,Impossible,N/A
December,Impossible,N/A
